SPMCODE	SECTION	TAXA-Current_determination	LOOK-UP_Authors	ID.modifier	LOOK-UP_WCM-ID	LOOK-UP_Accepted name	LOOK-UP Parent Name	Determined_by	Determined_date	determination_reasoning_notes	Lab_receiving_material	Received_Materials	Type_of_material	Date_received	Institution_Person_sending_material	Ownership_of_Sequence	TAXA.received.as_piped_add_dets	Original_Tube_No	Accession_Num_Voucher	voucher_location	Collectors	Collector_no	TDWG	Country	State_Province_Region_territory	substate	substate rank	Site	habitat	associates	plant-attributes	latitute	longitude	datum	elevation	elevation_source	coordinates_source	photos	Original_project		Specimen_Notes	Imaged	Use_in_NSF-CAREX-1255901_Project	Database_Notes	SPM.EXCLUDE	SPM.DATE.EXCLUSION	SPM.EXCLUSION.NOTES	SEQUENCE_NAME	PERMISSION_TO_USE	temp-sn don't need to check	Include2019GlobalCarex	tipLabels2019	NCBI_geo_loc_name	ETS_NCBI_ACCESSION	ITS_NCBI_ACCESSION	matK_NCBI_ACCESSION	Projects_IncompleteList	SEQUENCED
spm00000269		Carex leucodonta	Holm		urn:kew.org:wcs:taxon:228133	not accepted	Carex turbinata				MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex leucodonta	NA	MICH.1132687	MICH	R. Spellenberg, L. Brouillet, T.K. Todsen		MXE	Mexico	Chihuahua			Mcpio. De Adolfo Lopez Mateos, 18 km E of junction of highway to San Juanito E of Baseaseachi on highway to Tomochic, at pass slightly E of El Perico, then 1.1 km S by winding dirt road going to Rancho El Fresno	pale volcanic soil	Pinus arizonica, Quercus sideroxyla, Q. mcvaughii, Arctostaphylos, Arbutus xalapense.	petals ochroleucous.	28°15.69'N	108°03.64'W		2355m					Carex leucodonta	number listed for accession # is num on barcode.	no	1								TRUE	Carex_leucodonta|MXE|spm00000269	Mexico: Chihuahua	MN760627		MN763025	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000270		Carex lemanniana	Boott		urn:kew.org:wcs:taxon:228039	accepted		G. Davidse	1998		MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex lemanniana	Carex_MOR_232	MICH.1132681	MICH	E. Alfaro	583	COS	Costa Rica		Cartago	City	Canton de Perez Zeledon P.N. Chirripo Cordillera de Talamanca. P.Z. Distrito Rivas. Sendero Valle Los Conejos y Cerro Chiripo en Faramo.				9°27'58"N	83°29'40"W		3400-3739m					Carex lemanniana	number listed for accession # is num on barcode.	no	1		TRUE	42396	Mislabeling/contamination				FALSE		Costa Rica
spm00000271		Carex humboldtiana	Steud.		urn:kew.org:wcs:taxon:227445	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex humboldtiana	NA	MICH.1132630	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10800	MXC	Mexico	Mexico			Mpio. Huixquilucan: Ca. 10 km past Huixquilucan along road to Rio Hondo	dry oak forest in steep reavine.		abundant at the edge of the forest and even into open weedy areas.	19°24'00"N	99°17'06"W		2550m					Carex humboldtiana	number listed for accession # is num on barcode.	no	1								TRUE	Carex_humboldtiana|MXC|spm00000271	Mexico: Mexico	MN759963	MN762150		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000272		Carex durangensis	Reznicek & S.González		urn:kew.org:wcs:taxon:226214	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex durangensis	NA	MICH.1216175	MICH	A.A. Reznicek & S. Gonzalez w/ M. Pinedo	11153	MXE	Mexico	Durango			Mpio. Pueblo Nuevo: Ca. 2.5 km S. of El Salto along raod to Santa Barbara.	Marshy stream bank in flat bottomed valley in open Pinus cooperi forest.	Senecio billieturneri, Scirpus microcarpus, Sparganium, Juncus, Carex	scarce on stream bank.	23°45'14"N	105°22'50"W		2550m					Carex durangensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_durangensis|MXE|spm00000272	Mexico: Durango	MN760903	MN761574	MN763060	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000273		Carex hultenii	Aspl.		urn:kew.org:wcs:taxon:227440	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex hultenii	NA	MICH.1132627	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10732	MXE	Mexico	Hidalgo			Mpio. Chapulhuacan: 1 km N of Chapulhuacan, along road to Tamasunchale (Mex Hwy 85).	Moist montane forest		Infrequent, but widespread in one small area	21°09'58"N	98°54'02" W		830m					Carex hultenii	number listed for accession # is num on barcode.	no	1								TRUE	Carex_hultenii|MXE|spm00000273	Mexico: Hidalgo	MN759933	MN761529		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000274		Carex longicaulis	Boeckeler		urn:kew.org:wcs:taxon:228255	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex longicaulis	NA	MICH.1132703	MICH	P.F. Zika	15375	MXG	Mexico	Veracruz			on road to Microodas Las Lajas, 14 road km S of Las Vigas de Ramirez	dry slope under pines.	Alnus, Galium, Castilleja hirsuta, Eryngium, Lopezia, Dryopteris.	loosely cespitose									Carex longicaulis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_longicaulis|MXG|spm00000274	Mexico: Veracruz	MN760634	MN761485	MN763519	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000275	Filifoliae	Carex longissima	M.E.Jones	aff.	urn:kew.org:wcs:taxon:228297	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. aff. longissima	NA	MICH-V-1449808	MICH	A.A. Reznicek & S. Gonzalez w/ M. Pinedo	11121	MXE	Mexico	Durango			Mpio. Pueblo Nuevo: Ca. 1.7-2 km N of El palmito, on Hwy 40 (Durango-Mazatlan Hwy).	rock ledges and cliffs in Pinus-Quercus-Arbutus forest		very abundant in large clumps on seepy, mossy ledges and cliff faces, plants arching or even pendulous when on cliff faces.	23°34'01"N	105°49'47"W		2000-2070m					Carex longissima	number listed for accession # is num on barcode/off scanned sheet- I can't exactly make out 2nd number- I think it's a 2???	no	1								TRUE	Carex_longissima|MXE|spm00000275	Mexico: Durango	MN759849	MN761860	MN762988	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000276		Carex scoparia	Willd.	cf.	urn:kew.org:wcs:taxon:230759	accepted		Anton Reznicek|S.Martin Bravo & P. Jimenez-Mejias			MOR	yes	unmounted SNM sheet	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex scoparia|Carex scoparia aff New Mexico|	NA	R.C. Sivinski w/ T. Lowrey and Phil Tonne 8121		R.C. Sivinski w/ T. Lowrey and Phil Tonne	8121	NWM	USA	New Mexico	Hidalgo	County		wet alkaline meadow.		growing in individual clumps	31.52817	-108.87275		6000ft					Carex scoparia aff New Mexico	umounted SNM sheet (sent undetermined)	no	1								TRUE	Carex_scoparia|NWM|spm00000276	USA: New Mexico, Hidalgo County	MN760264	MN761709	MN762964	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000277		Carex madrensis	L.H.Bailey		urn:kew.org:wcs:taxon:228447	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex madrensis	NA	MICH.1132747	MICH	M. Fuentes O.	491	MXS	Mexico	Jalisco			Mpio Tecalitlan. 50.7 km al SSE de Cd. Guzman. Carr. A Llanitos y brecha a Plan de Lego; y 10.4 km al E por brecha de P. de Lego a Soyatal; bosque de pino y encino, degradado, dominancia de Pinus douglasiana: suelo prof.,												Carex madrensis	number listed for accession # is num on barcode; [AAR 2015-07-07: this is a simple-spiked Indicae]	no	1								TRUE	Carex_madrensis|MXS|spm00000277	Mexico: Jalisco		MN761530		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000278		Carex longii	Mack.		urn:kew.org:wcs:taxon:228267	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex longii	NA	MICH 1132718	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10802	MSX	Mexico	Michoacan			Mpio. Morelia: On the old Morelia-Patzcuaro road, beside house no. 8000.												Carex longii	number listed for accession # is num on barcode.	no	1								TRUE	Carex_longii|MSX|spm00000278	Mexico: Michoacan	MN760261	MN761906	MN762965	Global biogeography of Carex (Martin-Bravo et al.)	yes
