SPMCODE	SECTION	TAXA-Current_determination	LOOK-UP_Authors	ID.modifier	LOOK-UP_WCM-ID	LOOK-UP_Accepted name	LOOK-UP Parent Name	Determined_by	Determined_date	determination_reasoning_notes	Lab_receiving_material	Received_Materials	Type_of_material	Date_received	Institution_Person_sending_material	Ownership_of_Sequence	TAXA.received.as_piped_add_dets	Original_Tube_No	Accession_Num_Voucher	voucher_location	Collectors	Collector_no	TDWG	Country	State_Province_Region_territory	substate	substate rank	Site	habitat	associates	plant-attributes	latitute	longitude	datum	elevation	elevation_source	coordinates_source	photos	Original_project		Specimen_Notes	Imaged	Use_in_NSF-CAREX-1255901_Project	Database_Notes	SPM.EXCLUDE	SPM.DATE.EXCLUSION	SPM.EXCLUSION.NOTES	SEQUENCE_NAME	PERMISSION_TO_USE	temp-sn don't need to check	Include2019GlobalCarex	tipLabels2019	NCBI_geo_loc_name	ETS_NCBI_ACCESSION	ITS_NCBI_ACCESSION	matK_NCBI_ACCESSION	Projects_IncompleteList	SEQUENCED
spm00001432	Filifoliae	Carex filifolia var. filifolia	0		urn:kew.org:wcs:taxon:226524	accepted		J. Starr/Briana	pre 2014	added variety	MOR	yes	DNA extraction		Julian Starr	STARR	Carex filifolia|Carex filifolia Nuttall var filifolia	B829	DOV	DOV	RFC Naczi	11490	CAL	USA	California	Mono	County													Carex filifolia var. filifolia	Received as DNA extraction with tube label: B829. MatK already sequenced by Julian Starr's lab.		1						1		TRUE	Carex_filifolia_var_filifolia|CAL|spm00001432	USA: California, Mono County	MN760866	MN762128	GU172857	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00001642	Filifoliae	Carex filifolia var. filifolia	0		urn:kew.org:wcs:taxon:226524	accepted		J. Starr/Briana	pre 2014	added variety	MOR	yes	DNA extraction		Julian Starr	STARR	Carex filifolia|Carex filifolia Nuttall var filifolia	B1035	ALA 1130145	ALA	AP Khokhryakov, BA Yurtsev, DF Murray		ASK	USA	Alaska															Carex filifolia var. filifolia	Received as DNA extraction with tube label: B1035. MatK already sequenced by Julian Starr's lab.		1						0		FALSE		USA: Alaska					No-permission to use- STARR
spm00001810	Schiedeanae	Carex muriculata	F.J.Herm.		urn:kew.org:wcs:taxon:228883	accepted					MOR	yes	DNA extraction		Julian Starr	STARR	Carex muriculata FJ Hermann	B1203	UNM	UNM	A Knedy	00AK032 G5	NWM	USA	New Mexico	Eddy	County													Carex muriculata	Received as DNA extraction with tube label: B1203. MatK already sequenced by Julian Starr's lab.		1						1		TRUE	Carex_muriculata|NWM|spm00001810	USA: New Mexico, Eddy County	MN761069	MN761833	GU173268	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00001968	Schiedeanae	Carex muriculata	F.J.Herm.		urn:kew.org:wcs:taxon:228883	accepted		J. Starr/Briana	pre 2014	removed variety/subsp.	MOR	yes	DNA extraction		Julian Starr	STARR	Carex muriculata muriculata|Carex muriculata FJ Hermann	B1361	UCR 105716		RD Worthington		NWM	USA	New Mexico	Eddy	County	Sitting Bull Flats Rec Area, 5000 ft.												Carex muriculata	Received as DNA extraction with tube label: B1361. MatK already sequenced by Julian Starr's lab.		1						0		FALSE		USA: New Mexico					No-permission to use- STARR
spm00003088	Schiedeanae	Carex distachya	Desf.		urn:kew.org:wcs:taxon:226080	accepted						no			Modesto Luceno	LUCENO	Carex distachya		UPOS	UPOS	J.M. Mar¡n	1304JMM - UPOS 958		Spain																Carex distachya	extracted DNA, herbarium [Voucher: J.M. Mar¡n 1304JMM - UPOS 958]		1								FALSE		Spain
spm00003208	Schiedeanae	Carex distachya	Desf.		urn:kew.org:wcs:taxon:226080	accepted						no			Modesto Luceno	LUCENO	Carex distachya		UPOS	UPOS	M. Escudero	65ME06 - UPOS 2266	TUR	Turkey																Carex distachya	extracted DNA, herbarium, sequenced for ITS (GU176156) trnLF (GU176111) rps16 (GU176257) [Voucher: M. Escudero 65ME06 - UPOS 2266]		1								TRUE	Carex_distachya|TUR|spm00003208	Turkey 		GU176156		Monophyly, phylogenetic position, role of hybridization in Schoenoxiphium (Mol. Phylogenet. Evol., Gehrke et al. 2010)|Global biogeography of Carex (Martin-Bravo et al.)
spm00004438		Carex subandrogyna	G.A.Wheeler & Guagl.	aff.	urn:kew.org:wcs:taxon:231277	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex subandrogyna	Carex_MOR_3145	Ritter & Wood 2886	MICH	Nur Ritter and John Wood	2886	BOL	Bolivia	Carrasco	Cochabamba	Department	along dirt road which heads south out of Siberia (along the old highway to Santa Cruz)	Remnant of forest along a dirt road. Growing along the edges of a small stream in a fairly deep shade.	small grove dominated by Prumnopitys sp., with various Myrtaceae genera	locally abundant				~2900 m					Carex subandrogyna			1								FALSE		Bolivia: Carrasco	x	x	x		NO failed at PCR for all 3 regions
spm00004439		Carex cabralii	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex cabralii	Carex_MOR_3146	I. Cabral 445	CIIDIR	I. Cabral	445	MXE	Mexico	Nuevo Leon	Mpio		Santiago, San Jose de las Boquillas				100 deg 23' 20" N	25 deg 21'45" W							Carex cabralii			1								FALSE		Mexico: Nuevo Leon	x	x	x		NO failed at PCR for all 3 regions
spm00004440		Carex vizarronensis	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex vizarronensis	Carex_MOR_3147	A. Cabrera & M.Gomez 2264	MICH	A. Cabrera & M.Gomez	2264	MXE	Mexico								20 deg 50'01" N	99 deg 43'22"		2026 msnm					Carex vizarronensis	Isotype-MICH		1								FALSE		Mexico 	x	x	x		NO failed at PCR for all 3 regions
spm00004441	Schiedeanae	Carex revoluta	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014; additional material sent on 8/3/2015; additional material sent on ~5/2017	Anton Reznicek (MICH)	REZNICEK	Carex revoluta	Carex_MOR_3062	Gonzalex and Reznicek 10265	MICH	S. Gonzalez, A.A. Reznicek, M. Pinedo	10265	MXE	Mexico	Tamaulipas	Mpio		Bustamante: Ca. 18 km SE of Bustamante, on road from Palmillas to Bustamante.	Low rich scrub of legumes, composites, Dasylirion, etc., on steep limestone slopes.		Abundant, especially on somewhat disturbed soil.	23 deg 19'24"N	99 deg 42'04" W		1600-1650 m					Carex revoluta			1								FALSE		Mexico: Tamaulipas	?CAREX_MOR_09032015B	CAREX_MOR_09032015A	x		need to check this…
spm00004442	Schiedeanae	Carex tehuacana	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex tehuacana	Carex_MOR_3061	Col. P. Tenorio L. 4085 & C. Romero de T.	CAS	Col. P. Tenorio L. & C. Romero de T.	4085	MXC	Mexico	Puebla			Cerro Yeltepec al NE de la compania. Mpio. Caltepec.												Carex tehuacana	Reznicek annotation to Caex ehuancana (2008)- very immature, but note dense pubescence on perigynia (obscuring the faint nerves), broad perigynium, and papillose leaves.		1								FALSE		Mexico: Puebla	CAREX_MOR_09032015B	CAREX_MOR_09032015A	x		need to check this…
spm00004443	Schiedeanae	Carex dentata	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex dentata	Carex_MOR_3060	Gonzalex and Reznicek 10267	MICH	S. Gonzalez, A.A. Reznicek, M. Pinedo	10267	MXE	Mexico	Tamaulipas	Mpio		Bustamante: Ca. 18 km SE of Bustamante, on road from Palmillas to Bustamante.	Low rich scrub of legumes, composites, Dasylirion, etc., on steep limestone slopes.		Abundant, especially on somewhat disturbed soil.	23 deg 19'24"N	99 deg 42'04" W		1600-1650 m					Carex dentata			1								FALSE		Mexico: Tamaulipas	CAREX_MOR_09032015B	x	x		need to check this…
spm00004444		Carex praegracilis	W.Boott		urn:kew.org:wcs:taxon:229942	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex praegracilis	Carex_MOR_3151	T.R. Van Devender 2006-274	CIIDIR	T.R. Ban Devender, A.L. Reina G.	2006-274	MXN	Mexico	Sonora			2.3.4 km north of Imuris on MEX 15 in Rio Bambuto (=Magdalena) Valley	Cottonwood-willow forest		Dominant perennial in muddy area	30 deg 59'01"N	110 deg 52'21"W		1020m					Carex praegracilis			1								FALSE		Mexico: Sonora	CAREX_MOR_09032015B	CAREX_MOR_09032015A	CAREX_MOR_03162016		need to check this…
spm00004445		Carex marianensis	Stacey		urn:kew.org:wcs:taxon:228508	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex marianensis	Carex_MOR_3152	S. Gonzalez 7965	CIIDIR	S. Gonzalez	7965																		Carex marianensis			1								FALSE		 	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited		need to check this…
spm00004446		Carex flexirostris	Reznicek	cf.	urn:kew.org:wcs:taxon:226658	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex cf. flexirostris	Carex_MOR_3153	Tucker 2173		Gordon C. Tucker	2173	MXS	Mexico	Oaxaca			Hwy. 175, 14 km north of Ixtlan de Juarez.	Pine and oak woods		Common species on slightly moist roadside bank. Slender drooping spikes.									Carex flexirostris			1								FALSE		Mexico: Oaxaca	CAREX_MOR_09032015B	x	x
spm00004447		Carex xalapensis	Kunth	cf.	urn:kew.org:wcs:taxon:232238	not accepted	Carex muehlenbergii var. xalapensis	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex cf.  Xalapensis	Carex_MOR_3154	E. Perez Calix 1325	CIIDIR	E. Perez Calix	1325	MSX	Mexico	Michoacan										2800m					Carex xalapensis			1								FALSE		Mexico: Michoacan	CAREX_MOR_09032015B	x	x
spm00004448		Carex sect. Hymenochlaenae s.l., undescribed - Oaxaca	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex jamesonii var. gracilis|Carex sect. Hymenochlaenae s.l., undescribed - Oaxaca	Carex_MOR_3155	Hinton et al. 26757	CIIDIR	Hinton et al.	26757	MXS	Mexico	Oaxaca				Swamp in pine forest.		Fl. Borwn. 0.95 m. Colonies in swamp.									Carex sect. Hymenochlaenae s.l., undescribed - Oaxaca			1								FALSE		Mexico: Oaxaca	x	x	x		failed PCR at all 3 regions
spm00004449		Carex marianensis	Stacey		urn:kew.org:wcs:taxon:228508	accepted		Reznicek	??	Sticky note attached that says I believe this is just immature C.marianensis	MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex aff. agrostoides|Carex marianensis	Carex_MOR_3156	S.A> 1168a	CIIDIR	S.A.	1168a																		Carex marianensis			1								FALSE		 	Sequence Blasting to ITS	CAREX_MOR_09032015A
spm00004450		Carex perlonga	Fernald		urn:kew.org:wcs:taxon:229664	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex perlonga	Carex_MOR_3157	Jose Luis Lopez Garcia 206	IEB	Jose Luis Lopez Garcia	206	MXE	Mexico																Carex perlonga			1								FALSE		Mexico 	x	x	x		failed PCR at all 3 regions
spm00004451		Carex madrensis	L.H.Bailey		urn:kew.org:wcs:taxon:228447	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex madrensis	Carex_MOR_3158	Y. Ramirez-Amecua, A.G. Rocha-Loredo y A. Machuca N. 659	IEB	Y. Ramirez-Amecua, A.G. Rocha-Loredo y A. Machuca N.	659	MXS	Mexico	Jalisco															Carex madrensis			1								FALSE		Mexico: Jalisco	CAREX_MOR_09032015B
spm00004452		Carex spissa	L.H.Bailey ex Hemsl.		urn:kew.org:wcs:taxon:231084	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex spissa	Carex_MOR_3159	Julio Martinez Rmz. 603	IEB	Julio Martinez Rmz.	603	MXE	Mexico																Carex spissa			1								FALSE		Mexico 	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004453	Filifoliae	Carex - Carex sp nov (aff. C. arsenei)	#N/A	Carex sp nov (aff. C. arsenei)	#N/A	#N/A	#N/A	Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex sp nov (aff. C. arsensi)	Carex_MOR_3160	S. Zamudio y L. Beltran R. 14256	CIIDIR	S. Zamudio, L. Beltran R.	14256	MXE	MExico	Queretaro			+-1km al W de Vizarron, mpio. De Cadereyta				20 deg 50'56"N	99 deg 43'53"W		1920m					Carex - Carex sp nov (aff. C. arsenei)			1								FALSE		MExico: Queretaro			YES- ok edited
spm00004454		Carex scabrella	Wahlenb.	cf.	urn:kew.org:wcs:taxon:230664	accepted		Reznicek			MOR	yes	herbarium material	8/15/2014	Anton Reznicek (MICH)	REZNICEK	Carex cf. scabrella	Carex_MOR_3161	V.W. Steinmann 1181 & J. Ceja R., R. Cerros T.	CIIDIR	V.W. Steinmann  & J. Ceja R., R. Cerros T.	1181	MXT	Mexico	Chiapas			along MEX 195, 6km north of Ixtapa and 5.4 km south of Soyalo.	Perennial in the shady understory of pine-oak woodland						1100m					Carex scabrella			1								FALSE		Mexico: Chiapas
spm00004455		Carex praegracilis	W.Boott		urn:kew.org:wcs:taxon:229942	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex praegracilis	Carex_MOR_3162	A.A. Reznicek 12253, Jorge Noriega	CIIDIR/MICH	A.A Reznicek, Jorge Noriega	12253	MXE	Mexico	Durango			Along S. edge of Mex. Hwy 40, ca. 10km NE of Colonia Hidalgo.	moist apparently somewhat saline bottom of a depression along road, mostly dominated by Eleocharis.		Abundant in a dense, tall stand from deep seated creeping rhizomesm with unusually long inflorescences (but see No. 12254)	24 deg 12'42.6" N	104 deg 30' 07.5" W							Carex praegracilis			1								FALSE		Mexico: Durango	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004456		Carex pellita	Muhl. ex Willd.		urn:kew.org:wcs:taxon:229617	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex pellita	Carex_MOR_3163	A.A. REznicek 12256, Jorge Noriega	CIIDIR/MICH	A.A Reznicek, Jorge Noriega	12256	MXE	Mexico	Durango			Parque Nacional El Tecuan, S. side of Mex Hwy 40 ca. 40 (air) km WSW of Durango.	moist meadow opening among Pinus cooperi, dominated by grasses and forbes (esp. Geranium sp.)		A single clone, dominating a small area of the meadow, from creeping rhizomes; fruiting culms scarce and poorly developed.	23 deg 54'22.6" N	105 deg 01'50.2" W							Carex pellita			1								FALSE		Mexico: Durango	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004457		Carex wootonii	Mack.		urn:kew.org:wcs:taxon:232227	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex wootonii	Carex_MOR_3164	S. Gonzalez & A.A. Reznicek 12257	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12257	MXE	Mexico	Chihuahua			Guachochi. Ca 11km NNW of Guachochi, on E side of Hwy to Creel.	dryish, upper banks of small disturbed stream.	Ranunculus, Eleocharis, Plantago, Achillea, and other Carex	Scarce, few clumps	26 deg 54' 37.3" N	107 deg 06'39.5" W							Carex wootonii			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B		? Done- but doesn't match up well with many other seq, blasts to Carex matK though….
spm00004458		Carex marianensis aff	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex aff. Marianensis	Carex_MOR_3165	S.Gonzalez & A.A. Reznicek 12258	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12258	MXE	Mexico	Chihuahua			Guachochi. Ca 11km NNW of Guachochi, on E side of Hwy to Creel.	upper edges of open, wet meadow, under pines.		scarce, a few clumps, only old inflorescences	26 deg 54'37.3" N	107 deg 06'39.5" W							Carex marianensis aff			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004459		Carex sect. Ovales - long-bracted and loosely cespitose	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex sect. Ovales - long-bracted and loosely cespitose	Carex_MOR_3166	S.Gonzalez & A.A. Reznicek 12259	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12259	MXE	Mexico	Chihuahua			Guachochi. Ca 11km NNW of Guachochi, on E side of Hwy to Creel.	Wet meadow with many Carex, surrounded by pines.		Abundant, in loose clumps, a dominant of parts of the meadow; most inflorescences with a long bract.	26 deg 54'37.3" N	107 deg 06'39.5" W							Carex sect. Ovales - long-bracted and loosely cespitose			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004460		Carex boliviensis subsp. Occidentalis	Reznicek & S.González		urn:kew.org:wcs:taxon:225014	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex boliviensis subsp. occidentalis	Carex_MOR_3167	S. Gonzalez & A.A. Reznicek 12260	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12260	MXE	Mexico	Chihuahua			Guachochi. Ca 11km NNW of Guachochi, on E side of Hwy to Creel.	Wet meadow with many Carex, surrounded by pines.		Abundant, in large clumps along drier, upper edge of wet meadow dominated by Carex and grasses.	26 deg 54' 37.3" N	107 deg 06' 39.5" W							Carex boliviensis subsp. Occidentalis			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	? Done- but doesn't match up well with many other seq, blasts to Carex matK though….
spm00004461		Carex bolanderi	Olney		urn:kew.org:wcs:taxon:225009	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex bolanderi	Carex_MOR_3168	S. Gonzalez & A.A. Reznicek 12262	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12262	MXE	Mexico	Chihuahua			Bocoyna: Cascada Cusarare, ca. 15.5km SSE of Creel.	Wet, seepy steep slopes and cliff base just below waterfall, on N side of River; with rich, mostly coniferous forest of Pinus, Cupressus, Pseudotsuga, Abies, Quercus, and Fraxinus, with many Carex in the understory.	Pinus, Cupressus, Pseudotsuga, Abies, Quercus, Fraxinus and Carex	Abundant in tall, spreading clumps near base of cliff.	27 deg 37' 16.2"N	107 deg 34' 28" W							Carex bolanderi			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004462		Carex thurberi	Dewey ex Torr.		urn:kew.org:wcs:taxon:231563	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex thurberi	Carex_MOR_3169	S. Gonzalez & A.A. Reznicek 12263	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12263	MXE	Mexico	Chihuahua			Bocoyna: Cascada Cusarare, ca. 15.5km SSE of Creel.	Wet, seepy steep slopes and cliff base just below waterfall, on N side of River; with rich, mostly coniferous forest of Pinus, Cupressus, Pseudotsuga, Abies, Quercus, and Fraxinus, with many Carex in the understory.	Carex bolanderi	Few scattered large, spreading, loose clumps at seepy base of slope	27 deg 37' 16.2"N	107deg 34'28"W							Carex thurberi			1								FALSE		Mexico: Chihuahua		CAREX_MOR_09032015A	? Done- but doesn't match up well with many other seq, blasts to Carex matK though….
spm00004463		Carex sect. Ovales - looks superficially like C. bolanderi	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex sect. Ovales - looks superficially like C. bolanderi	Carex_MOR_3170	S. Gonzalez & A.A. Reznicek 12264	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12264	MXE	Mexico	Chihuahua			Bocoyna: Cascada Cusarare, ca. 15.5km SSE of Creel.	Wet, seepy steep slopes and cliff base just below waterfall, on N side of River; with rich, mostly coniferous forest of Pinus, Cupressus, Pseudotsuga, Abies, Quercus, and Fraxinus, with many Carex in the understory.		Scarce, robust clump in sun on rock ledge at edge of waterfall; also laxer clumps sparse in more shade.	27 deg 37'16.2"N	107 deg 34'28"W							Carex sect. Ovales - looks superficially like C. bolanderi			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004464		Carex - undescribed multispiked Vignea	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex - undescribed multispiked Vignea	Carex_MOR_3171	S. Gonzalez & A.A. Reznicek 12266	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12266	MXE	Mexico	Chihuahua			Bocoyna: Cusarare, ca. 19 km SSE of Creel.	Dry, open fenced, weedy kindergarden schoolyard.,just inside fence. Area otherwise totally grazed by cattle, goats, horses, burros, ets.		Two large robust clumps with stiff, ascending culms	27 deg 36'05.8"N	107 deg 32'21.6"W							Carex - undescribed multispiked Vignea			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004465		Carex cf. agrostoides cf. chihuahuensis	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex cf. agrostoides cf. chihuahuensis	Carex_MOR_3172	S. Gonzalez & A.A. Reznicek 12267	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12267	MXE	Mexico	Chihuahua			Ocampo. Ca 17 km (air) S. of Cascada de Basaseachi Park, stream valley on W side of Hwy to Park.	Wet, rocky stream bank through pasture.		Very scarce, a single patch with a few fertile stems sheltered from grazing by rocks.	28 deg 06'18" N	108 deg 03'22.8"W							Carex cf. agrostoides cf. chihuahuensis			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004466		Carex turbinata	Liebm.		urn:kew.org:wcs:taxon:231749	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex turbinata	Carex_MOR_3173	S. Gonzalez & A.A. Reznicek 12268	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12268	MXE	Mexico	Chihuahua			Ocampo.  Cascada de Basaseachi Park, below mirador of E side of Valley	Dry, open oak-pine forest.		Frequent scattered tight clumps, all just in flower.	28 deg 10' 13.2"N	108 deg 12'29.2"W							Carex turbinata			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004467		Carex cf. agrostoides cf. chihuahuensis	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex cf. agrostoides cf. chihuahuensis	Carex_MOR_3174	S. Gonzalez & A.A. Reznicek 12269	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12269	MXE	Mexico	Chihuahua			Ocampo.  Puente El Durazno, ca 1km SW of Las Estrellas	Crevices on rocks in and along the shore of the Basaseachic River just about the high water line.		Frequent in dense, hard-based clumps; sometimes quite large.	28 deg 11'30.9"N	108 deg 10'26.5" W							Carex cf. agrostoides cf. chihuahuensis			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004468		Carex - Carex sp. nov. near Carex marianensis	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex - Carex sp. nov. near Carex marianensis	Carex_MOR_3175	S. Gonzalez & A.A. Reznicek 12270	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12270	MXE	Mexico	Chihuahua			Near Puente El Durazno, ca 1km SW of Las Estrellas	Dryish, sandy upper bank, above high water line on S shore of River E of the bridge.		Single large clump, spikes all immature; 2 vegetative clumps of apparently the same plant seen on the other side of the river, closer to the bridge.	28 deg 11' 26.3" N	108 deg 10'28.3" W							Carex - Carex sp. nov. near Carex marianensis			1								FALSE		Mexico: Chihuahua	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004469		Carex alma	L.H.Bailey		urn:kew.org:wcs:taxon:224392	accepted		Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex alma	Carex_MOR_3176	S. Gonzalez & A.A. Reznicek 12271	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12271	MXN	Mexico	Sonora			Yecora. Ca 12 km (Air) W of Yecora on the S side of Hwy 16.	On moist floor and mossy, moist rocks of ravine bottom in Pinus-Quercus forest, with Platanus wrightii; much Toxicodendron radicans in the understory.		Scattered tall clumps in the upper portion of ravine.	28 deg 22'14.2"N	109 deg 02'42.7"W							Carex alma			1								FALSE		Mexico: Sonora	CAREX_MOR_09032015B	CAREX_MOR_09032015A	YES- ok edited
spm00004470		Carex cf. agrostoides cf. chihuahuensis	#N/A		#N/A	#N/A	#N/A	Reznicek			MOR	yes	silica dried material	8/20/2014	Anton Reznicek (MICH)	REZNICEK	Carex|Carex cf. agrostoides cf. chihuahuensis	Carex_MOR_3177	S. Gonzalez & A.A. Reznicek 12272	CIIDIR/MICH	S. Gonzalez & A.A. Reznicek, Jorge Noriega Villa, Sergio Heynes Silerio, Raul Lopez Garcia	12272	MXN	Mexico	Sonora			Yecora. Ca 3.5 km (Air) W of Maycoba on the S side of Hwy 16.	Rocky banks, with Eleocharis and Juncus, of stream through Quercus and Cupressus forest		small clumps in a few spots protected from grazing.	28 deg 24'12.1"N	108 deg 41'40.2"W							Carex cf. agrostoides cf. chihuahuensis			1								FALSE		Mexico: Sonora	CAREX_MOR_09032015B		YES- ok edited
